ciudad,fecha,hora,lat,lon,temp_celsius,temp_kelvin,descripcion
madrid,2025-07-29,00:30:00,40.5,-3.75,16.86,290.01,Temperatura día 2025-07-29 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 16.86°C
madrid,2025-07-29,01:30:00,40.5,-3.75,15.96,289.11,Temperatura día 2025-07-29 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 15.96°C
madrid,2025-07-29,02:30:00,40.5,-3.75,15.18,288.33,Temperatura día 2025-07-29 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 15.18°C
madrid,2025-07-29,03:30:00,40.5,-3.75,14.57,287.72,Temperatura día 2025-07-29 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 14.57°C
madrid,2025-07-29,04:30:00,40.5,-3.75,14.09,287.24,Temperatura día 2025-07-29 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 14.09°C
madrid,2025-07-29,05:30:00,40.5,-3.75,14.09,287.24,Temperatura día 2025-07-29 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 14.09°C
madrid,2025-07-29,06:30:00,40.5,-3.75,15.79,288.94,Temperatura día 2025-07-29 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 15.79°C
madrid,2025-07-29,07:30:00,40.5,-3.75,18.58,291.73,Temperatura día 2025-07-29 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 18.58°C
madrid,2025-07-29,08:30:00,40.5,-3.75,21.59,294.74,Temperatura día 2025-07-29 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 21.59°C
madrid,2025-07-29,09:30:00,40.5,-3.75,24.26,297.41,Temperatura día 2025-07-29 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 24.26°C
madrid,2025-07-29,10:30:00,40.5,-3.75,26.55,299.7,Temperatura día 2025-07-29 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 26.55°C
madrid,2025-07-29,11:30:00,40.5,-3.75,28.41,301.56,Temperatura día 2025-07-29 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 28.41°C
madrid,2025-07-29,12:30:00,40.5,-3.75,29.86,303.01,Temperatura día 2025-07-29 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 29.86°C
madrid,2025-07-29,13:30:00,40.5,-3.75,30.9,304.05,Temperatura día 2025-07-29 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 30.90°C
madrid,2025-07-29,14:30:00,40.5,-3.75,31.48,304.63,Temperatura día 2025-07-29 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 31.48°C
madrid,2025-07-29,15:30:00,40.5,-3.75,31.73,304.88,Temperatura día 2025-07-29 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 31.73°C
madrid,2025-07-29,16:30:00,40.5,-3.75,31.54,304.69,Temperatura día 2025-07-29 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 31.54°C
madrid,2025-07-29,17:30:00,40.5,-3.75,30.68,303.83,Temperatura día 2025-07-29 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 30.68°C
madrid,2025-07-29,18:30:00,40.5,-3.75,28.66,301.81,Temperatura día 2025-07-29 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 28.66°C
